package,package_description
java.applet,Provides the classes necessary to create an applet and the classes an appletuses to communicate with its applet context.
java.awt,Contains all of the classes for creating userinterfaces and for painting graphics and images.
java.awt.color,Provides classes for color spaces.
java.awt.datatransfer,Provides interfaces and classes for transferring databetween and within applications.
java.awt.dnd,Drag and Drop is a direct manipulation gesture found in many GraphicalUser Interface systems that provides a mechanism to transferinformation between two entities logically associated with presentationelements in the GUI.
java.awt.event,Provides interfaces and classes for dealing with differenttypes of events fired by AWT components.
java.awt.font,Provides classes and interface relating to fonts.
java.awt.geom,Provides the Java 2D classes for defining and performing operationson objects related to two-dimensional geometry.
java.awt.im,Provides classes and interfaces for the input method framework.
java.awt.im.spi,Provides interfaces that enable the development of input methodsthat can be used with any Java runtime environment.
java.awt.image,Provides classes for creating and modifying images.
java.awt.image.renderable,Provides classes and interfaces for producingrendering-independent images.
java.awt.print,Provides classes and interfaces for a general printing API.
java.beans,Contains classes related to developingbeans -- componentsbased on the JavaBeans™ architecture.
java.beans.beancontext,Provides classes and interfaces relating to bean context.
java.io,"Provides for system input and output through data streams,serialization and the file system."
java.lang,Provides classes that are fundamental to the design of the Java programming language.
java.lang.annotation,Provides library support for the Java programming language annotation facility.
java.lang.instrument,Provides services that allow Java programming language agents to instrument programs running on the JVM.
java.lang.invoke,The java.lang.invoke package contains dynamic language support provided directly by the Java core class libraries and virtual machine.
java.lang.management,Provides the management interfaces for monitoring and management of theJava virtual machine and other components in the Java runtime.
java.lang.ref,"Provides reference-object classes, which support a limited degree ofinteraction with the garbage collector."
java.lang.reflect,Provides classes and interfaces for obtaining reflective information about classes and objects.
java.math,Provides classes for performing arbitrary-precision integer arithmetic (BigInteger) and arbitrary-precision decimal arithmetic (BigDecimal).
java.net,Provides the classes for implementing networking applications.
java.nio,"Defines buffers, which are containers for data, and provides an overview of theother NIO packages."
java.nio.channels,"Defines channels, which represent connections to entities that are capable of performing I/O operations, such as files and sockets; defines selectors, for multiplexed, non-blocking I/O operations."
java.nio.channels.spi,Service-provider classes for the java.nio.channels package.
java.nio.charset,"Defines charsets, decoders, and encoders, for translating between bytes andUnicode characters."
